01:00:20 INF [TCP] connected lAddr=127.0.0.1:50000 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:20 INF [TCP] connected lAddr=127.0.0.1:50004 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:20 INF [TCP] connected lAddr=127.0.0.1:50018 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:20 INF [TCP] connected lAddr=127.0.0.1:50026 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:20 INF [TCP] connected lAddr=127.0.0.1:50042 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:21 INF [TCP] connected lAddr=127.0.0.1:50056 rAddr=bot-resource-1251316161.cos.ap-guangzhou.myqcloud.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:00:21 INF [TCP] connected lAddr=127.0.0.1:50070 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:21 INF [TCP] connected lAddr=127.0.0.1:50076 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:27 INF [TCP] connected lAddr=127.0.0.1:50090 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:38 INF [TCP] connected lAddr=127.0.0.1:49834 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:38 INF [TCP] connected lAddr=127.0.0.1:49818 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:38 INF [TCP] connected lAddr=127.0.0.1:49848 rAddr=q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:39 INF [TCP] connected lAddr=127.0.0.1:49852 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:39 INF [TCP] connected lAddr=127.0.0.1:49864 rAddr=node.video.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:39 INF [TCP] connected lAddr=127.0.0.1:49880 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:39 INF [TCP] connected lAddr=127.0.0.1:49866 rAddr=ocsp2.globalsign.com:80 mode=rule rule=DomainSuffix(globalsign.com) proxy=节点选择[新加坡10]
01:00:48 INF [TCP] connected lAddr=127.0.0.1:52802 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:48 INF [TCP] connected lAddr=127.0.0.1:52806 rAddr=bot.q.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:00:54 INF [TCP] connected lAddr=127.0.0.1:50050 rAddr=safebrowsing.googleapis.com:443 mode=rule rule=Domain(safebrowsing.googleapis.com) proxy=DIRECT
01:00:54 INF [TCP] connected lAddr=127.0.0.1:38094 rAddr=ocsp.pki.goog:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:01:28 INF [TCP] connected lAddr=127.0.0.1:56668 rAddr=groupprohead.gtimg.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
01:02:22 INF [TCP] connected lAddr=127.0.0.1:59820 rAddr=wj-assets.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
01:02:23 INF [TCP] connected lAddr=127.0.0.1:59828 rAddr=wj.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
01:02:34 INF [TCP] connected lAddr=127.0.0.1:47028 rAddr=wj.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:02:40 INF [TCP] connected lAddr=127.0.0.1:59250 rAddr=wj.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
01:03:29 INF [TCP] connected lAddr=127.0.0.1:35312 rAddr=api.flutter-io.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
01:03:42 INF [TCP] connected lAddr=127.0.0.1:60302 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40310 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40368 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40300 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40332 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40316 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40342 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:03:53 INF [TCP] connected lAddr=127.0.0.1:40352 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:04:31 INF [TCP] connected lAddr=127.0.0.1:38108 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:04:37 INF [TCP] connected lAddr=127.0.0.1:38120 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:04:48 INF [TCP] connected lAddr=127.0.0.1:45070 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:04:49 INF [TCP] connected lAddr=127.0.0.1:45098 rAddr=dl.google.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
01:04:49 INF [TCP] connected lAddr=127.0.0.1:45084 rAddr=com-store-packages.uniontech.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:04:49 INF [TCP] connected lAddr=127.0.0.1:50920 rAddr=app-store-files.uniontech.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:04:50 INF [TCP] connected lAddr=127.0.0.1:50928 rAddr=dldir1.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
01:04:50 INF [TCP] connected lAddr=127.0.0.1:50938 rAddr=redirector.gvt1.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:04:50 INF [TCP] connected lAddr=127.0.0.1:50924 rAddr=foruda.gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:04:51 INF [TCP] connected lAddr=127.0.0.1:50942 rAddr=r2---sn-ni5een7l.gvt1.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
01:04:52 INF [TCP] connected lAddr=127.0.0.1:50944 rAddr=update.code.visualstudio.com:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:04:54 INF [TCP] connected lAddr=127.0.0.1:50964 rAddr=wps-linux-personal.wpscdn.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
01:04:55 INF [TCP] connected lAddr=127.0.0.1:50952 rAddr=az764295.vo.msecnd.net:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:08:33 INF [TCP] connected lAddr=127.0.0.1:52172 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
01:08:47 INF [TCP] connected lAddr=127.0.0.1:40250 rAddr=aur.archlinux.org:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
